country,alpha-2,alpha-3,numeric,context,classific_id,classification,percentage,source
Armenia,AM,ARM,051,Rural,10,Dry latrines - Hanging toilet/hanging latrine,0.0,Armenia Stat Bank - ASB16
Armenia,AM,ARM,051,Rural,11,Dry latrines - Bucket latrine,0.0,Armenia Stat Bank - ASB16
Armenia,AM,ARM,051,Rural,12,Dry latrines - Other,0.0,Armenia Stat Bank - ASB16
Armenia,AM,ARM,051,Rural,13,Composting toilets,0.0,Armenia Stat Bank - ASB16
Armenia,AM,ARM,051,Rural,14,Other improved,0.0,Armenia Stat Bank - ASB16
Armenia,AM,ARM,051,Rural,15,"No facility, bush, field",0.0,Armenia Stat Bank - ASB16
Armenia,AM,ARM,051,Rural,16,Other unimproved,0.797,Armenia Stat Bank - ASB16
Armenia,AM,ARM,051,Rural,17,DK/missing information,0.0,Armenia Stat Bank - ASB16
Armenia,AM,ARM,051,National,1,Flush and pour flush - to piped sewer system,0.697,Armenia Stat Bank - ASB16
Armenia,AM,ARM,051,National,2,Flush and pour flush - to septic tank,0.0,Armenia Stat Bank - ASB16
Armenia,AM,ARM,051,National,3,Flush and pour flush - to pit,0.0,Armenia Stat Bank - ASB16
Armenia,AM,ARM,051,National,4,Flush and pour flush - to unknown place/ not sure/DK,0.0,Armenia Stat Bank - ASB16
Armenia,AM,ARM,051,National,5,Flush and pour flush - to elsewhere,0.0,Armenia Stat Bank - ASB16
Armenia,AM,ARM,051,National,6,Dry latrines - Ventilated Improved Pit latrine,0.0,Armenia Stat Bank - ASB16
Armenia,AM,ARM,051,National,7,Dry latrines - Pit latrine with slab/covered latrine,0.0,Armenia Stat Bank - ASB16
Armenia,AM,ARM,051,National,8,Dry latrines - Traditional latrine,0.0,Armenia Stat Bank - ASB16
Armenia,AM,ARM,051,National,9,Dry latrines - Pit latrine without slab/open pit,0.0,Armenia Stat Bank - ASB16
Armenia,AM,ARM,051,National,10,Dry latrines - Hanging toilet/hanging latrine,0.0,Armenia Stat Bank - ASB16
Armenia,AM,ARM,051,National,11,Dry latrines - Bucket latrine,0.0,Armenia Stat Bank - ASB16
Armenia,AM,ARM,051,National,12,Dry latrines - Other,0.0,Armenia Stat Bank - ASB16
Armenia,AM,ARM,051,National,13,Composting toilets,0.0,Armenia Stat Bank - ASB16
Armenia,AM,ARM,051,National,14,Other improved,0.0,Armenia Stat Bank - ASB16
Armenia,AM,ARM,051,National,15,"No facility, bush, field",0.0,Armenia Stat Bank - ASB16
Armenia,AM,ARM,051,National,16,Other unimproved,0.303,Armenia Stat Bank - ASB16
Armenia,AM,ARM,051,National,17,DK/missing information,0.0,Armenia Stat Bank - ASB16
Armenia,AM,ARM,051,Urban,1,Flush and pour flush - to piped sewer system,0.953,Demographic and Health Survey - DHS16
Armenia,AM,ARM,051,Urban,2,Flush and pour flush - to septic tank,0.003,Demographic and Health Survey - DHS16
Armenia,AM,ARM,051,Urban,3,Flush and pour flush - to pit,0.0,Demographic and Health Survey - DHS16
Armenia,AM,ARM,051,Urban,4,Flush and pour flush - to unknown place/ not sure/DK,0.001,Demographic and Health Survey - DHS16
Armenia,AM,ARM,051,Urban,5,Flush and pour flush - to elsewhere,0.009,Demographic and Health Survey - DHS16
Armenia,AM,ARM,051,Urban,6,Dry latrines - Ventilated Improved Pit latrine,0.0,Demographic and Health Survey - DHS16
Armenia,AM,ARM,051,Urban,7,Dry latrines - Pit latrine with slab/covered latrine,0.011,Demographic and Health Survey - DHS16
Armenia,AM,ARM,051,Urban,8,Dry latrines - Traditional latrine,0.0,Demographic and Health Survey - DHS16
Armenia,AM,ARM,051,Urban,9,Dry latrines - Pit latrine without slab/open pit,0.024,Demographic and Health Survey - DHS16
Armenia,AM,ARM,051,Urban,10,Dry latrines - Hanging toilet/hanging latrine,0.0,Demographic and Health Survey - DHS16
Armenia,AM,ARM,051,Urban,11,Dry latrines - Bucket latrine,0.0,Demographic and Health Survey - DHS16
Armenia,AM,ARM,051,Urban,12,Dry latrines - Other,0.0,Demographic and Health Survey - DHS16
Armenia,AM,ARM,051,Urban,13,Composting toilets,0.0,Demographic and Health Survey - DHS16
Armenia,AM,ARM,051,Urban,14,Other improved,0.0,Demographic and Health Survey - DHS16
Armenia,AM,ARM,051,Urban,15,"No facility, bush, field",0.0,Demographic and Health Survey - DHS16
Armenia,AM,ARM,051,Urban,16,Other unimproved,0.0,Demographic and Health Survey - DHS16
Armenia,AM,ARM,051,Urban,17,DK/missing information,0.0,Demographic and Health Survey - DHS16
Armenia,AM,ARM,051,Rural,1,Flush and pour flush - to piped sewer system,0.284,Demographic and Health Survey - DHS16
Armenia,AM,ARM,051,Rural,2,Flush and pour flush - to septic tank,0.057,Demographic and Health Survey - DHS16
Armenia,AM,ARM,051,Rural,3,Flush and pour flush - to pit,0.0,Demographic and Health Survey - DHS16
Armenia,AM,ARM,051,Rural,4,Flush and pour flush - to unknown place/ not sure/DK,0.003,Demographic and Health Survey - DHS16
Armenia,AM,ARM,051,Rural,5,Flush and pour flush - to elsewhere,0.052,Demographic and Health Survey - DHS16
Armenia,AM,ARM,051,Rural,6,Dry latrines - Ventilated Improved Pit latrine,0.0,Demographic and Health Survey - DHS16
Armenia,AM,ARM,051,Rural,7,Dry latrines - Pit latrine with slab/covered latrine,0.147,Demographic and Health Survey - DHS16
Armenia,AM,ARM,051,Rural,8,Dry latrines - Traditional latrine,0.0,Demographic and Health Survey - DHS16
Armenia,AM,ARM,051,Rural,9,Dry latrines - Pit latrine without slab/open pit,0.458,Demographic and Health Survey - DHS16
Armenia,AM,ARM,051,Rural,10,Dry latrines - Hanging toilet/hanging latrine,0.0,Demographic and Health Survey - DHS16
Armenia,AM,ARM,051,Rural,11,Dry latrines - Bucket latrine,0.0,Demographic and Health Survey - DHS16
Armenia,AM,ARM,051,Rural,12,Dry latrines - Other,0.0,Demographic and Health Survey - DHS16
Armenia,AM,ARM,051,Rural,13,Composting toilets,0.0,Demographic and Health Survey - DHS16
Armenia,AM,ARM,051,Rural,14,Other improved,0.0,Demographic and Health Survey - DHS16
Armenia,AM,ARM,051,Rural,15,"No facility, bush, field",0.0,Demographic and Health Survey - DHS16
Armenia,AM,ARM,051,Rural,16,Other unimproved,0.0,Demographic and Health Survey - DHS16
Armenia,AM,ARM,051,Rural,17,DK/missing information,0.0,Demographic and Health Survey - DHS16
Armenia,AM,ARM,051,National,1,Flush and pour flush - to piped sewer system,0.678,Demographic and Health Survey - DHS16
Armenia,AM,ARM,051,National,2,Flush and pour flush - to septic tank,0.025,Demographic and Health Survey - DHS16
Armenia,AM,ARM,051,National,3,Flush and pour flush - to pit,0.0,Demographic and Health Survey - DHS16
Armenia,AM,ARM,051,National,4,Flush and pour flush - to unknown place/ not sure/DK,0.002,Demographic and Health Survey - DHS16
Armenia,AM,ARM,051,National,5,Flush and pour flush - to elsewhere,0.027,Demographic and Health Survey - DHS16
Armenia,AM,ARM,051,National,6,Dry latrines - Ventilated Improved Pit latrine,0.0,Demographic and Health Survey - DHS16
Armenia,AM,ARM,051,National,7,Dry latrines - Pit latrine with slab/covered latrine,0.067,Demographic and Health Survey - DHS16
Armenia,AM,ARM,051,National,8,Dry latrines - Traditional latrine,0.0,Demographic and Health Survey - DHS16
Armenia,AM,ARM,051,National,9,Dry latrines - Pit latrine without slab/open pit,0.202,Demographic and Health Survey - DHS16
Armenia,AM,ARM,051,National,10,Dry latrines - Hanging toilet/hanging latrine,0.0,Demographic and Health Survey - DHS16
Armenia,AM,ARM,051,National,11,Dry latrines - Bucket latrine,0.0,Demographic and Health Survey - DHS16
Armenia,AM,ARM,051,National,12,Dry latrines - Other,0.0,Demographic and Health Survey - DHS16
Armenia,AM,ARM,051,National,13,Composting toilets,0.0,Demographic and Health Survey - DHS16
Armenia,AM,ARM,051,National,14,Other improved,0.0,Demographic and Health Survey - DHS16
Armenia,AM,ARM,051,National,15,"No facility, bush, field",0.0,Demographic and Health Survey - DHS16
Armenia,AM,ARM,051,National,16,Other unimproved,0.0,Demographic and Health Survey - DHS16
Armenia,AM,ARM,051,National,17,DK/missing information,0.0,Demographic and Health Survey - DHS16
Armenia,AM,ARM,051,Urban,1,Flush and pour flush - to piped sewer system,0.635,Armenia Stat Bank - ASB09
Armenia,AM,ARM,051,Urban,2,Flush and pour flush - to septic tank,0.0,Armenia Stat Bank - ASB09
Armenia,AM,ARM,051,Urban,3,Flush and pour flush - to pit,0.0,Armenia Stat Bank - ASB09
Armenia,AM,ARM,051,Urban,4,Flush and pour flush - to unknown place/ not sure/DK,0.0,Armenia Stat Bank - ASB09
Armenia,AM,ARM,051,Urban,5,Flush and pour flush - to elsewhere,0.0,Armenia Stat Bank - ASB09
Armenia,AM,ARM,051,Urban,6,Dry latrines - Ventilated Improved Pit latrine,0.0,Armenia Stat Bank - ASB09
Armenia,AM,ARM,051,Urban,7,Dry latrines - Pit latrine with slab/covered latrine,0.0,Armenia Stat Bank - ASB09
Armenia,AM,ARM,051,Urban,8,Dry latrines - Traditional latrine,0.0,Armenia Stat Bank - ASB09
Armenia,AM,ARM,051,Urban,9,Dry latrines - Pit latrine without slab/open pit,0.0,Armenia Stat Bank - ASB09
Armenia,AM,ARM,051,Urban,10,Dry latrines - Hanging toilet/hanging latrine,0.0,Armenia Stat Bank - ASB09
Armenia,AM,ARM,051,Urban,11,Dry latrines - Bucket latrine,0.0,Armenia Stat Bank - ASB09
Armenia,AM,ARM,051,Urban,12,Dry latrines - Other,0.0,Armenia Stat Bank - ASB09
Armenia,AM,ARM,051,Urban,13,Composting toilets,0.0,Armenia Stat Bank - ASB09
Armenia,AM,ARM,051,Urban,14,Other improved,0.0,Armenia Stat Bank - ASB09
Armenia,AM,ARM,051,Urban,15,"No facility, bush, field",0.0,Armenia Stat Bank - ASB09
Armenia,AM,ARM,051,Urban,16,Other unimproved,0.365,Armenia Stat Bank - ASB09
Armenia,AM,ARM,051,Urban,17,DK/missing information,0.0,Armenia Stat Bank - ASB09
Armenia,AM,ARM,051,Rural,1,Flush and pour flush - to piped sewer system,0.214,Armenia Stat Bank - ASB09
Armenia,AM,ARM,051,Rural,2,Flush and pour flush - to septic tank,0.0,Armenia Stat Bank - ASB09
Armenia,AM,ARM,051,Rural,3,Flush and pour flush - to pit,0.0,Armenia Stat Bank - ASB09
Armenia,AM,ARM,051,Rural,4,Flush and pour flush - to unknown place/ not sure/DK,0.0,Armenia Stat Bank - ASB09
Armenia,AM,ARM,051,Rural,5,Flush and pour flush - to elsewhere,0.0,Armenia Stat Bank - ASB09
Armenia,AM,ARM,051,Rural,6,Dry latrines - Ventilated Improved Pit latrine,0.0,Armenia Stat Bank - ASB09
Armenia,AM,ARM,051,Rural,7,Dry latrines - Pit latrine with slab/covered latrine,0.0,Armenia Stat Bank - ASB09
Armenia,AM,ARM,051,Rural,8,Dry latrines - Traditional latrine,0.0,Armenia Stat Bank - ASB09
Armenia,AM,ARM,051,Rural,9,Dry latrines - Pit latrine without slab/open pit,0.0,Armenia Stat Bank - ASB09
Armenia,AM,ARM,051,Rural,10,Dry latrines - Hanging toilet/hanging latrine,0.0,Armenia Stat Bank - ASB09
Armenia,AM,ARM,051,Rural,11,Dry latrines - Bucket latrine,0.0,Armenia Stat Bank - ASB09
Armenia,AM,ARM,051,Rural,12,Dry latrines - Other,0.0,Armenia Stat Bank - ASB09
Armenia,AM,ARM,051,Rural,13,Composting toilets,0.0,Armenia Stat Bank - ASB09
Armenia,AM,ARM,051,Rural,14,Other improved,0.0,Armenia Stat Bank - ASB09
Armenia,AM,ARM,051,Rural,15,"No facility, bush, field",0.0,Armenia Stat Bank - ASB09
Armenia,AM,ARM,051,Rural,16,Other unimproved,0.786,Armenia Stat Bank - ASB09
Armenia,AM,ARM,051,Rural,17,DK/missing information,0.0,Armenia Stat Bank - ASB09
Armenia,AM,ARM,051,National,1,Flush and pour flush - to piped sewer system,0.667,Armenia Stat Bank - ASB09
Armenia,AM,ARM,051,National,2,Flush and pour flush - to septic tank,0.0,Armenia Stat Bank - ASB09
Armenia,AM,ARM,051,National,3,Flush and pour flush - to pit,0.0,Armenia Stat Bank - ASB09
Armenia,AM,ARM,051,National,4,Flush and pour flush - to unknown place/ not sure/DK,0.0,Armenia Stat Bank - ASB09
Armenia,AM,ARM,051,National,5,Flush and pour flush - to elsewhere,0.0,Armenia Stat Bank - ASB09
Armenia,AM,ARM,051,National,6,Dry latrines - Ventilated Improved Pit latrine,0.0,Armenia Stat Bank - ASB09
Armenia,AM,ARM,051,National,7,Dry latrines - Pit latrine with slab/covered latrine,0.0,Armenia Stat Bank - ASB09
Armenia,AM,ARM,051,National,8,Dry latrines - Traditional latrine,0.0,Armenia Stat Bank - ASB09
Armenia,AM,ARM,051,National,9,Dry latrines - Pit latrine without slab/open pit,0.0,Armenia Stat Bank - ASB09
Armenia,AM,ARM,051,National,10,Dry latrines - Hanging toilet/hanging latrine,0.0,Armenia Stat Bank - ASB09
Armenia,AM,ARM,051,National,11,Dry latrines - Bucket latrine,0.0,Armenia Stat Bank - ASB09
Armenia,AM,ARM,051,National,12,Dry latrines - Other,0.0,Armenia Stat Bank - ASB09
Armenia,AM,ARM,051,National,13,Composting toilets,0.0,Armenia Stat Bank - ASB09
Armenia,AM,ARM,051,National,14,Other improved,0.0,Armenia Stat Bank - ASB09
Armenia,AM,ARM,051,National,15,"No facility, bush, field",0.0,Armenia Stat Bank - ASB09
Armenia,AM,ARM,051,National,16,Other unimproved,0.333,Armenia Stat Bank - ASB09
Armenia,AM,ARM,051,National,17,DK/missing information,0.0,Armenia Stat Bank - ASB09
