country,alpha-2,alpha-3,numeric,context,classific_id,classification,percentage,source
Mali,ML,MLI,466,Rural,17,DK/missing information,0.0,Enquête Modulaire et Permanente Auprès des Ménages - EMOP17
Mali,ML,MLI,466,National,1,Flush and pour flush - to piped sewer system,0.0,Enquête Modulaire et Permanente Auprès des Ménages - EMOP17
Mali,ML,MLI,466,National,2,Flush and pour flush - to septic tank,0.0,Enquête Modulaire et Permanente Auprès des Ménages - EMOP17
Mali,ML,MLI,466,National,3,Flush and pour flush - to pit,0.0,Enquête Modulaire et Permanente Auprès des Ménages - EMOP17
Mali,ML,MLI,466,National,4,Flush and pour flush - to unknown place/ not sure/DK,0.0,Enquête Modulaire et Permanente Auprès des Ménages - EMOP17
Mali,ML,MLI,466,National,5,Flush and pour flush - to elsewhere,0.0,Enquête Modulaire et Permanente Auprès des Ménages - EMOP17
Mali,ML,MLI,466,National,6,Dry latrines - Ventilated Improved Pit latrine,0.0,Enquête Modulaire et Permanente Auprès des Ménages - EMOP17
Mali,ML,MLI,466,National,7,Dry latrines - Pit latrine with slab/covered latrine,0.0,Enquête Modulaire et Permanente Auprès des Ménages - EMOP17
Mali,ML,MLI,466,National,8,Dry latrines - Traditional latrine,0.816,Enquête Modulaire et Permanente Auprès des Ménages - EMOP17
Mali,ML,MLI,466,National,8,Dry latrines - Traditional latrine,0.306,Enquête Modulaire et Permanente Auprès des Ménages - EMOP17
Mali,ML,MLI,466,National,8,Dry latrines - Traditional latrine,0.51,Enquête Modulaire et Permanente Auprès des Ménages - EMOP17
Mali,ML,MLI,466,National,9,Dry latrines - Pit latrine without slab/open pit,0.0,Enquête Modulaire et Permanente Auprès des Ménages - EMOP17
Mali,ML,MLI,466,National,10,Dry latrines - Hanging toilet/hanging latrine,0.0,Enquête Modulaire et Permanente Auprès des Ménages - EMOP17
Mali,ML,MLI,466,National,11,Dry latrines - Bucket latrine,0.0,Enquête Modulaire et Permanente Auprès des Ménages - EMOP17
Mali,ML,MLI,466,National,12,Dry latrines - Other,0.0,Enquête Modulaire et Permanente Auprès des Ménages - EMOP17
Mali,ML,MLI,466,National,13,Composting toilets,0.0,Enquête Modulaire et Permanente Auprès des Ménages - EMOP17
Mali,ML,MLI,466,National,14,Other improved,0.0,Enquête Modulaire et Permanente Auprès des Ménages - EMOP17
Mali,ML,MLI,466,National,15,"No facility, bush, field",0.106,Enquête Modulaire et Permanente Auprès des Ménages - EMOP17
Mali,ML,MLI,466,National,16,Other unimproved,0.016,Enquête Modulaire et Permanente Auprès des Ménages - EMOP17
Mali,ML,MLI,466,National,17,DK/missing information,0.0,Enquête Modulaire et Permanente Auprès des Ménages - EMOP17
Mali,ML,MLI,466,Urban,1,Flush and pour flush - to piped sewer system,0.0,Enquête Modulaire et Permanente Auprès des Ménages - EMOP18
Mali,ML,MLI,466,Urban,2,Flush and pour flush - to septic tank,0.0,Enquête Modulaire et Permanente Auprès des Ménages - EMOP18
Mali,ML,MLI,466,Urban,3,Flush and pour flush - to pit,0.0,Enquête Modulaire et Permanente Auprès des Ménages - EMOP18
Mali,ML,MLI,466,Urban,4,Flush and pour flush - to unknown place/ not sure/DK,0.0,Enquête Modulaire et Permanente Auprès des Ménages - EMOP18
Mali,ML,MLI,466,Urban,5,Flush and pour flush - to elsewhere,0.0,Enquête Modulaire et Permanente Auprès des Ménages - EMOP18
Mali,ML,MLI,466,Urban,6,Dry latrines - Ventilated Improved Pit latrine,0.0,Enquête Modulaire et Permanente Auprès des Ménages - EMOP18
Mali,ML,MLI,466,Urban,7,Dry latrines - Pit latrine with slab/covered latrine,0.0,Enquête Modulaire et Permanente Auprès des Ménages - EMOP18
Mali,ML,MLI,466,Urban,8,Dry latrines - Traditional latrine,0.852,Enquête Modulaire et Permanente Auprès des Ménages - EMOP18
Mali,ML,MLI,466,Urban,8,Dry latrines - Traditional latrine,0.252,Enquête Modulaire et Permanente Auprès des Ménages - EMOP18
Mali,ML,MLI,466,Urban,8,Dry latrines - Traditional latrine,0.6,Enquête Modulaire et Permanente Auprès des Ménages - EMOP18
Mali,ML,MLI,466,Urban,9,Dry latrines - Pit latrine without slab/open pit,0.0,Enquête Modulaire et Permanente Auprès des Ménages - EMOP18
Mali,ML,MLI,466,Urban,10,Dry latrines - Hanging toilet/hanging latrine,0.0,Enquête Modulaire et Permanente Auprès des Ménages - EMOP18
Mali,ML,MLI,466,Urban,11,Dry latrines - Bucket latrine,0.0,Enquête Modulaire et Permanente Auprès des Ménages - EMOP18
Mali,ML,MLI,466,Urban,12,Dry latrines - Other,0.0,Enquête Modulaire et Permanente Auprès des Ménages - EMOP18
Mali,ML,MLI,466,Urban,13,Composting toilets,0.0,Enquête Modulaire et Permanente Auprès des Ménages - EMOP18
Mali,ML,MLI,466,Urban,14,Other improved,0.0,Enquête Modulaire et Permanente Auprès des Ménages - EMOP18
Mali,ML,MLI,466,Urban,15,"No facility, bush, field",0.019,Enquête Modulaire et Permanente Auprès des Ménages - EMOP18
Mali,ML,MLI,466,Urban,16,Other unimproved,0.006,Enquête Modulaire et Permanente Auprès des Ménages - EMOP18
Mali,ML,MLI,466,Urban,17,DK/missing information,0.0,Enquête Modulaire et Permanente Auprès des Ménages - EMOP18
Mali,ML,MLI,466,Rural,1,Flush and pour flush - to piped sewer system,0.0,Enquête Modulaire et Permanente Auprès des Ménages - EMOP18
Mali,ML,MLI,466,Rural,2,Flush and pour flush - to septic tank,0.0,Enquête Modulaire et Permanente Auprès des Ménages - EMOP18
Mali,ML,MLI,466,Rural,3,Flush and pour flush - to pit,0.0,Enquête Modulaire et Permanente Auprès des Ménages - EMOP18
Mali,ML,MLI,466,Rural,4,Flush and pour flush - to unknown place/ not sure/DK,0.0,Enquête Modulaire et Permanente Auprès des Ménages - EMOP18
Mali,ML,MLI,466,Rural,5,Flush and pour flush - to elsewhere,0.0,Enquête Modulaire et Permanente Auprès des Ménages - EMOP18
Mali,ML,MLI,466,Rural,6,Dry latrines - Ventilated Improved Pit latrine,0.0,Enquête Modulaire et Permanente Auprès des Ménages - EMOP18
Mali,ML,MLI,466,Rural,7,Dry latrines - Pit latrine with slab/covered latrine,0.0,Enquête Modulaire et Permanente Auprès des Ménages - EMOP18
Mali,ML,MLI,466,Rural,8,Dry latrines - Traditional latrine,0.832,Enquête Modulaire et Permanente Auprès des Ménages - EMOP18
Mali,ML,MLI,466,Rural,8,Dry latrines - Traditional latrine,0.31,Enquête Modulaire et Permanente Auprès des Ménages - EMOP18
Mali,ML,MLI,466,Rural,8,Dry latrines - Traditional latrine,0.521,Enquête Modulaire et Permanente Auprès des Ménages - EMOP18
Mali,ML,MLI,466,Rural,9,Dry latrines - Pit latrine without slab/open pit,0.0,Enquête Modulaire et Permanente Auprès des Ménages - EMOP18
Mali,ML,MLI,466,Rural,10,Dry latrines - Hanging toilet/hanging latrine,0.0,Enquête Modulaire et Permanente Auprès des Ménages - EMOP18
Mali,ML,MLI,466,Rural,11,Dry latrines - Bucket latrine,0.0,Enquête Modulaire et Permanente Auprès des Ménages - EMOP18
Mali,ML,MLI,466,Rural,12,Dry latrines - Other,0.0,Enquête Modulaire et Permanente Auprès des Ménages - EMOP18
Mali,ML,MLI,466,Rural,13,Composting toilets,0.0,Enquête Modulaire et Permanente Auprès des Ménages - EMOP18
Mali,ML,MLI,466,Rural,14,Other improved,0.0,Enquête Modulaire et Permanente Auprès des Ménages - EMOP18
Mali,ML,MLI,466,Rural,15,"No facility, bush, field",0.128,Enquête Modulaire et Permanente Auprès des Ménages - EMOP18
Mali,ML,MLI,466,Rural,16,Other unimproved,0.002,Enquête Modulaire et Permanente Auprès des Ménages - EMOP18
Mali,ML,MLI,466,Rural,17,DK/missing information,0.0,Enquête Modulaire et Permanente Auprès des Ménages - EMOP18
Mali,ML,MLI,466,National,1,Flush and pour flush - to piped sewer system,0.0,Enquête Modulaire et Permanente Auprès des Ménages - EMOP18
Mali,ML,MLI,466,National,2,Flush and pour flush - to septic tank,0.0,Enquête Modulaire et Permanente Auprès des Ménages - EMOP18
Mali,ML,MLI,466,National,3,Flush and pour flush - to pit,0.0,Enquête Modulaire et Permanente Auprès des Ménages - EMOP18
Mali,ML,MLI,466,National,4,Flush and pour flush - to unknown place/ not sure/DK,0.0,Enquête Modulaire et Permanente Auprès des Ménages - EMOP18
Mali,ML,MLI,466,National,5,Flush and pour flush - to elsewhere,0.0,Enquête Modulaire et Permanente Auprès des Ménages - EMOP18
Mali,ML,MLI,466,National,6,Dry latrines - Ventilated Improved Pit latrine,0.0,Enquête Modulaire et Permanente Auprès des Ménages - EMOP18
Mali,ML,MLI,466,National,7,Dry latrines - Pit latrine with slab/covered latrine,0.0,Enquête Modulaire et Permanente Auprès des Ménages - EMOP18
Mali,ML,MLI,466,National,8,Dry latrines - Traditional latrine,0.838,Enquête Modulaire et Permanente Auprès des Ménages - EMOP18
Mali,ML,MLI,466,National,8,Dry latrines - Traditional latrine,0.293,Enquête Modulaire et Permanente Auprès des Ménages - EMOP18
Mali,ML,MLI,466,National,8,Dry latrines - Traditional latrine,0.545,Enquête Modulaire et Permanente Auprès des Ménages - EMOP18
Mali,ML,MLI,466,National,9,Dry latrines - Pit latrine without slab/open pit,0.0,Enquête Modulaire et Permanente Auprès des Ménages - EMOP18
Mali,ML,MLI,466,National,10,Dry latrines - Hanging toilet/hanging latrine,0.0,Enquête Modulaire et Permanente Auprès des Ménages - EMOP18
Mali,ML,MLI,466,National,11,Dry latrines - Bucket latrine,0.0,Enquête Modulaire et Permanente Auprès des Ménages - EMOP18
Mali,ML,MLI,466,National,12,Dry latrines - Other,0.0,Enquête Modulaire et Permanente Auprès des Ménages - EMOP18
Mali,ML,MLI,466,National,13,Composting toilets,0.0,Enquête Modulaire et Permanente Auprès des Ménages - EMOP18
Mali,ML,MLI,466,National,14,Other improved,0.0,Enquête Modulaire et Permanente Auprès des Ménages - EMOP18
Mali,ML,MLI,466,National,15,"No facility, bush, field",0.095,Enquête Modulaire et Permanente Auprès des Ménages - EMOP18
Mali,ML,MLI,466,National,16,Other unimproved,0.003,Enquête Modulaire et Permanente Auprès des Ménages - EMOP18
Mali,ML,MLI,466,National,17,DK/missing information,0.0,Enquête Modulaire et Permanente Auprès des Ménages - EMOP18
Mali,ML,MLI,466,Urban,1,Flush and pour flush - to piped sewer system,0.0,"Enquête sanitaire mondiale, OMS, 2003 - WHS03"
Mali,ML,MLI,466,Urban,2,Flush and pour flush - to septic tank,0.0,"Enquête sanitaire mondiale, OMS, 2003 - WHS03"
Mali,ML,MLI,466,Urban,3,Flush and pour flush - to pit,0.0,"Enquête sanitaire mondiale, OMS, 2003 - WHS03"
Mali,ML,MLI,466,Urban,4,Flush and pour flush - to unknown place/ not sure/DK,0.0,"Enquête sanitaire mondiale, OMS, 2003 - WHS03"
Mali,ML,MLI,466,Urban,5,Flush and pour flush - to elsewhere,0.0,"Enquête sanitaire mondiale, OMS, 2003 - WHS03"
Mali,ML,MLI,466,Urban,6,Dry latrines - Ventilated Improved Pit latrine,0.0,"Enquête sanitaire mondiale, OMS, 2003 - WHS03"
Mali,ML,MLI,466,Urban,7,Dry latrines - Pit latrine with slab/covered latrine,0.0,"Enquête sanitaire mondiale, OMS, 2003 - WHS03"
Mali,ML,MLI,466,Urban,8,Dry latrines - Traditional latrine,0.0,"Enquête sanitaire mondiale, OMS, 2003 - WHS03"
Mali,ML,MLI,466,Urban,9,Dry latrines - Pit latrine without slab/open pit,0.0,"Enquête sanitaire mondiale, OMS, 2003 - WHS03"
Mali,ML,MLI,466,Urban,10,Dry latrines - Hanging toilet/hanging latrine,0.0,"Enquête sanitaire mondiale, OMS, 2003 - WHS03"
Mali,ML,MLI,466,Urban,11,Dry latrines - Bucket latrine,0.0,"Enquête sanitaire mondiale, OMS, 2003 - WHS03"
Mali,ML,MLI,466,Urban,12,Dry latrines - Other,0.0,"Enquête sanitaire mondiale, OMS, 2003 - WHS03"
Mali,ML,MLI,466,Urban,13,Composting toilets,0.0,"Enquête sanitaire mondiale, OMS, 2003 - WHS03"
Mali,ML,MLI,466,Urban,14,Other improved,0.0,"Enquête sanitaire mondiale, OMS, 2003 - WHS03"
Mali,ML,MLI,466,Urban,15,"No facility, bush, field",0.0,"Enquête sanitaire mondiale, OMS, 2003 - WHS03"
Mali,ML,MLI,466,Urban,16,Other unimproved,0.0,"Enquête sanitaire mondiale, OMS, 2003 - WHS03"
Mali,ML,MLI,466,Urban,17,DK/missing information,0.0,"Enquête sanitaire mondiale, OMS, 2003 - WHS03"
Mali,ML,MLI,466,Rural,1,Flush and pour flush - to piped sewer system,0.0,"Enquête sanitaire mondiale, OMS, 2003 - WHS03"
Mali,ML,MLI,466,Rural,2,Flush and pour flush - to septic tank,0.0,"Enquête sanitaire mondiale, OMS, 2003 - WHS03"
Mali,ML,MLI,466,Rural,3,Flush and pour flush - to pit,0.0,"Enquête sanitaire mondiale, OMS, 2003 - WHS03"
Mali,ML,MLI,466,Rural,4,Flush and pour flush - to unknown place/ not sure/DK,0.0,"Enquête sanitaire mondiale, OMS, 2003 - WHS03"
Mali,ML,MLI,466,Rural,5,Flush and pour flush - to elsewhere,0.0,"Enquête sanitaire mondiale, OMS, 2003 - WHS03"
Mali,ML,MLI,466,Rural,6,Dry latrines - Ventilated Improved Pit latrine,0.0,"Enquête sanitaire mondiale, OMS, 2003 - WHS03"
Mali,ML,MLI,466,Rural,7,Dry latrines - Pit latrine with slab/covered latrine,0.0,"Enquête sanitaire mondiale, OMS, 2003 - WHS03"
Mali,ML,MLI,466,Rural,8,Dry latrines - Traditional latrine,0.0,"Enquête sanitaire mondiale, OMS, 2003 - WHS03"
Mali,ML,MLI,466,Rural,9,Dry latrines - Pit latrine without slab/open pit,0.0,"Enquête sanitaire mondiale, OMS, 2003 - WHS03"
Mali,ML,MLI,466,Rural,10,Dry latrines - Hanging toilet/hanging latrine,0.0,"Enquête sanitaire mondiale, OMS, 2003 - WHS03"
Mali,ML,MLI,466,Rural,11,Dry latrines - Bucket latrine,0.0,"Enquête sanitaire mondiale, OMS, 2003 - WHS03"
Mali,ML,MLI,466,Rural,12,Dry latrines - Other,0.0,"Enquête sanitaire mondiale, OMS, 2003 - WHS03"
Mali,ML,MLI,466,Rural,13,Composting toilets,0.0,"Enquête sanitaire mondiale, OMS, 2003 - WHS03"
Mali,ML,MLI,466,Rural,14,Other improved,0.0,"Enquête sanitaire mondiale, OMS, 2003 - WHS03"
Mali,ML,MLI,466,Rural,15,"No facility, bush, field",0.0,"Enquête sanitaire mondiale, OMS, 2003 - WHS03"
Mali,ML,MLI,466,Rural,16,Other unimproved,0.0,"Enquête sanitaire mondiale, OMS, 2003 - WHS03"
Mali,ML,MLI,466,Rural,17,DK/missing information,0.0,"Enquête sanitaire mondiale, OMS, 2003 - WHS03"
Mali,ML,MLI,466,National,1,Flush and pour flush - to piped sewer system,0.0,"Enquête sanitaire mondiale, OMS, 2003 - WHS03"
Mali,ML,MLI,466,National,2,Flush and pour flush - to septic tank,0.0,"Enquête sanitaire mondiale, OMS, 2003 - WHS03"
Mali,ML,MLI,466,National,3,Flush and pour flush - to pit,0.0,"Enquête sanitaire mondiale, OMS, 2003 - WHS03"
Mali,ML,MLI,466,National,4,Flush and pour flush - to unknown place/ not sure/DK,0.0,"Enquête sanitaire mondiale, OMS, 2003 - WHS03"
Mali,ML,MLI,466,National,5,Flush and pour flush - to elsewhere,0.0,"Enquête sanitaire mondiale, OMS, 2003 - WHS03"
Mali,ML,MLI,466,National,6,Dry latrines - Ventilated Improved Pit latrine,0.0,"Enquête sanitaire mondiale, OMS, 2003 - WHS03"
Mali,ML,MLI,466,National,7,Dry latrines - Pit latrine with slab/covered latrine,0.0,"Enquête sanitaire mondiale, OMS, 2003 - WHS03"
Mali,ML,MLI,466,National,8,Dry latrines - Traditional latrine,0.0,"Enquête sanitaire mondiale, OMS, 2003 - WHS03"
Mali,ML,MLI,466,National,9,Dry latrines - Pit latrine without slab/open pit,0.0,"Enquête sanitaire mondiale, OMS, 2003 - WHS03"
Mali,ML,MLI,466,National,10,Dry latrines - Hanging toilet/hanging latrine,0.0,"Enquête sanitaire mondiale, OMS, 2003 - WHS03"
Mali,ML,MLI,466,National,11,Dry latrines - Bucket latrine,0.0,"Enquête sanitaire mondiale, OMS, 2003 - WHS03"
Mali,ML,MLI,466,National,12,Dry latrines - Other,0.0,"Enquête sanitaire mondiale, OMS, 2003 - WHS03"
Mali,ML,MLI,466,National,13,Composting toilets,0.0,"Enquête sanitaire mondiale, OMS, 2003 - WHS03"
Mali,ML,MLI,466,National,14,Other improved,0.0,"Enquête sanitaire mondiale, OMS, 2003 - WHS03"
Mali,ML,MLI,466,National,15,"No facility, bush, field",0.0,"Enquête sanitaire mondiale, OMS, 2003 - WHS03"
Mali,ML,MLI,466,National,16,Other unimproved,0.0,"Enquête sanitaire mondiale, OMS, 2003 - WHS03"
Mali,ML,MLI,466,National,17,DK/missing information,0.0,"Enquête sanitaire mondiale, OMS, 2003 - WHS03"
